chrom	start	end	region	is_bad_bin	log2_insulation_score_50000	n_valid_pixels_50000	log2_insulation_score_100000	n_valid_pixels_100000	log2_insulation_score_150000	n_valid_pixels_150000	log2_insulation_score_200000	n_valid_pixels_200000	log2_insulation_score_300000	n_valid_pixels_300000	boundary_strength_300000	boundary_strength_100000	boundary_strength_200000	boundary_strength_50000	boundary_strength_150000	is_boundary_50000	is_boundary_100000	is_boundary_150000	is_boundary_200000	is_boundary_300000
chr2	0	10000	chr2	True	nan	0.0	nan	0.0	nan	0.0	nan	0.0	nan	0.0	nan	nan	nan	nan	nan	False	False	False	False	False
chr2	10000	20000	chr2	False	0.42176349017066095	3.0	0.8242848223170974	8.0	1.2619157857017405	13.0	1.5177349314041855	18.0	1.9225864091904177	28.0	nan	nan	nan	nan	nan	False	False	False	False	False
chr2	20000	30000	chr2	False	0.525377956710935	7.0	0.7953667439317147	17.0	1.2065998158287066	27.0	1.4392793895395066	37.0	1.8198629450615367	57.0	nan	nan	nan	nan	nan	False	False	False	False	False
chr2	30000	40000	chr2	False	0.37314818025634977	12.0	0.7818700622218303	27.0	1.159184518879934	42.0	1.403121695149914	57.0	1.7394169813776412	87.0	nan	nan	nan	nan	nan	False	False	False	False	False
chr2	40000	50000	chr2	False	0.22200975693220115	17.0	0.708582276778184	37.0	1.0947077578933901	57.0	1.3330458110974062	77.0	1.6517477308071646	117.0	nan	nan	nan	nan	nan	False	False	False	False	False
chr2	50000	60000	chr2	False	0.03364026465125496	22.0	0.6353443722130253	47.0	0.9940954529157168	72.0	1.219646628009639	97.0	1.5361795755950305	147.0	nan	nan	nan	nan	nan	False	False	False	False	False
chr2	60000	70000	chr2	False	0.024117150409698227	22.0	0.5993608462896002	57.0	0.9331556363207539	87.0	1.1374894439480077	117.0	1.4502046228011802	177.0	nan	nan	nan	0.18008412029085277	nan	False	False	False	False	False
chr2	70000	80000	chr2	False	0.12913164314828873	22.0	0.5684579980589896	67.0	0.876013948718338	102.0	1.0847860441843342	137.0	1.3794723060921001	207.0	nan	nan	nan	nan	nan	False	False	False	False	False
chr2	80000	90000	chr2	False	0.10389885173825979	22.0	0.5082632487853712	77.0	0.8382916987947829	117.0	1.0457170277468104	157.0	1.318341206390964	237.0	nan	nan	nan	0.025232791410028946	nan	False	False	False	False	False
chr2	90000	100000	chr2	False	0.204201270700551	22.0	0.4539719649509079	87.0	0.7941861462526707	132.0	1.003755367238371	177.0	1.2598440929520656	267.0	nan	nan	nan	nan	nan	False	False	False	False	False
chr2	100000	110000	chr2	False	0.19340324719356614	22.0	0.3746282001104045	97.0	0.7274092703389381	147.0	0.9440942132438253	197.0	1.1870973239736093	297.0	nan	nan	nan	nan	nan	False	False	False	False	False
chr2	110000	120000	chr2	False	0.18915158339481555	22.0	0.3453457739690813	97.0	0.6718922015532096	162.0	0.8965817544582915	217.0	1.1406230569327855	327.0	nan	nan	nan	nan	nan	False	False	False	False	False
chr2	120000	130000	chr2	False	0.12462324017730446	22.0	0.3267610967582278	97.0	0.6140081424596668	177.0	0.8389528606141781	237.0	1.0825147104945516	357.0	nan	0.006893966035342314	nan	nan	nan	False	False	False	False	False
chr2	130000	140000	chr2	False	0.08121568925283915	22.0	0.3336550627935701	97.0	0.5767435960317576	192.0	0.7910629774574913	257.0	1.0285409804147516	387.0	nan	nan	nan	0.11870991598610878	nan	False	False	False	False	False
chr2	140000	150000	chr2	False	0.13149899617879515	22.0	0.31309217677707263	97.0	0.5227513847930634	207.0	0.7268902825236638	277.0	0.955690029577857	417.0	nan	nan	nan	nan	nan	False	False	False	False	False
chr2	150000	160000	chr2	False	0.15532702458080455	22.0	0.284888191237415	97.0	0.4612441551309811	222.0	0.6672439622950767	297.0	0.8888995494713915	447.0	nan	0.002163185886571495	nan	nan	nan	False	False	False	False	False
chr2	160000	170000	chr2	False	0.19992560523894792	22.0	0.2870513771239865	97.0	0.3987384080491499	222.0	0.6137853799890083	317.0	0.8394957345930274	477.0	nan	nan	nan	nan	nan	False	False	False	False	False
chr2	170000	180000	chr2	False	0.18217638069649017	22.0	0.28306792653533647	97.0	0.36220372104328913	222.0	0.5687536668217206	337.0	0.7957534990073784	507.0	nan	nan	nan	0.0018916801833055996	nan	False	False	False	False	False
chr2	180000	190000	chr2	False	0.18406806087979577	22.0	0.28061221987451834	97.0	0.33075809441563614	222.0	0.5323257094098419	357.0	0.7609965046882935	537.0	nan	nan	nan	nan	nan	False	False	False	False	False
chr2	190000	200000	chr2	False	0.12138355954650297	22.0	0.24555936722703184	97.0	0.28701359677548033	222.0	0.47381451788768025	377.0	0.721778779775359	567.0	nan	nan	nan	nan	nan	False	False	False	False	False
