chrom1	start1	end1	chrom2	start2	end2	count	balanced
chr2	10000000	10010000	chr2	10000000	10010000	533	0.137647
chr2	10000000	10010000	chr2	10010000	10020000	120	0.057552
chr2	10000000	10010000	chr2	10020000	10030000	84	0.0251146
chr2	10000000	10010000	chr2	10030000	10040000	82	0.0203679
chr2	10000000	10010000	chr2	10040000	10050000	51	0.0112709
chr2	10000000	10010000	chr2	10050000	10060000	35	0.0100152
chr2	10000000	10010000	chr2	10060000	10070000	36	0.00815991
chr2	10000000	10010000	chr2	10070000	10080000	23	0.00550078
chr2	10000000	10010000	chr2	10080000	10090000	15	0.00353856
chr2	10000000	10010000	chr2	10090000	10100000	10	0.00244031
chr2	10000000	10010000	chr2	10100000	10110000	18	0.00400962
chr2	10000000	10010000	chr2	10110000	10120000	13	0.00312127
chr2	10000000	10010000	chr2	10120000	10130000	8	0.0018035
chr2	10000000	10010000	chr2	10130000	10140000	10	0.00194364
chr2	10000000	10010000	chr2	10140000	10150000	16	0.00308169
chr2	10000000	10010000	chr2	10150000	10160000	12	0.00308416
chr2	10000000	10010000	chr2	10160000	10170000	8	0.00249459
chr2	10000000	10010000	chr2	10170000	10180000	7	0.0020369
chr2	10000000	10010000	chr2	10180000	10190000	10	0.00281373
chr2	10000000	10010000	chr2	10190000	10200000	6	0.00239689
chr2	10000000	10010000	chr2	10200000	10210000	10	0.00246513
chr2	10000000	10010000	chr2	10210000	10220000	10	0.00278859
chr2	10000000	10010000	chr2	10220000	10230000	3	0.000850713
chr2	10000000	10010000	chr2	10230000	10240000	4	0.00146786
chr2	10000000	10010000	chr2	10240000	10250000	6	0.00191298
chr2	10000000	10010000	chr2	10250000	10260000	8	0.00245704
chr2	10000000	10010000	chr2	10260000	10270000	3	0.000739843
chr2	10000000	10010000	chr2	10270000	10280000	5	0.00129137
chr2	10000000	10010000	chr2	10280000	10290000	7	0.00182219
chr2	10000000	10010000	chr2	10290000	10300000	3	0.000789884
chr2	10000000	10010000	chr2	10300000	10310000	3	0.000743868
chr2	10000000	10010000	chr2	10310000	10320000	7	0.00168297
chr2	10000000	10010000	chr2	10320000	10330000	4	0.000812034
chr2	10000000	10010000	chr2	10330000	10340000	5	0.00124627
chr2	10000000	10010000	chr2	10340000	10350000	4	0.000947238
chr2	10000000	10010000	chr2	10350000	10360000	4	0.000991576
chr2	10000000	10010000	chr2	10360000	10370000	4	0.000897053
chr2	10000000	10010000	chr2	10370000	10380000	8	0.00172714
chr2	10000000	10010000	chr2	10380000	10390000	4	0.000973167
chr2	10000000	10010000	chr2	10390000	10400000	5	0.00143601
chr2	10000000	10010000	chr2	10400000	10410000	11	0.00215337
chr2	10000000	10010000	chr2	10410000	10420000	4	0.000892238
chr2	10000000	10010000	chr2	10420000	10430000	16	0.00487545
chr2	10000000	10010000	chr2	10430000	10440000	7	0.00193694
chr2	10000000	10010000	chr2	10440000	10450000	9	0.0021384
chr2	10000000	10010000	chr2	10450000	10460000	6	0.00149678
chr2	10000000	10010000	chr2	10460000	10470000	7	0.00210466
chr2	10000000	10010000	chr2	10470000	10480000	9	0.00199569
chr2	10000000	10010000	chr2	10480000	10490000	8	0.00206019
